"Package Name","Installation Instruction","Released Date","Short Description",Author,Maintainer
"toastedmarshmallow 2.15.2.post1","pip install toastedmarshmallow
          
            
            Copy PIP instructions","Released: 
  Jun 19, 2019","A JIT implementation for Marshmallow to speed up dumping and loading objects.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/1bcec5a388dab64d9d14c90a448679449c456503/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f33666264653766626134376462313435616665643065666630303537626261333f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for jmphilli from gravatar.com"" title=""Avatar for jmphilli from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            jmphilli
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/7837fc18e9495ef86055ffdf4f8a2c5b7512d75e/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f39376263373439666665373734666162323964613632663637303666393630373f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for rowillia from gravatar.com"" title=""Avatar for rowillia from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            rowillia
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/1bcec5a388dab64d9d14c90a448679449c456503/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f33666264653766626134376462313435616665643065666630303537626261333f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for jmphilli from gravatar.com"" title=""Avatar for jmphilli from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            jmphilli
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/7837fc18e9495ef86055ffdf4f8a2c5b7512d75e/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f39376263373439666665373734666162323964613632663637303666393630373f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for rowillia from gravatar.com"" title=""Avatar for rowillia from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            rowillia
          </span>
        "
"t-object 0.1.8","pip install t-object
          
            
            Copy PIP instructions","Released: 
  May 9, 2024",t_object,,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/024c5eb497b7783c1705aecb2418e70aba59a2e2/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f33643130333530653433633063383333656461376535623838393966653939393f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for thoughtful from gravatar.com"" title=""Avatar for thoughtful from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            thoughtful
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/024c5eb497b7783c1705aecb2418e70aba59a2e2/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f33643130333530653433633063383333656461376535623838393966653939393f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for thoughtful from gravatar.com"" title=""Avatar for thoughtful from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            thoughtful
          </span>
        "
"tocka-django-maintenancemode 0.9.4.1","pip install tocka-django-maintenancemode
          
            
            Copy PIP instructions","Released: 
  Jul 10, 2015","Django-maintenancemode allows you to temporary shutdown your site for maintenance work",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/973c1366a0a70800eabe98442b0e4a060eb5807f/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66616331616535373937613334666661336236613635333739326665316665623f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for frnhr from gravatar.com"" title=""Avatar for frnhr from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            frnhr
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/973c1366a0a70800eabe98442b0e4a060eb5807f/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66616331616535373937613334666661336236613635333739326665316665623f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for frnhr from gravatar.com"" title=""Avatar for frnhr from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            frnhr
          </span>
        "
"toclo 1.1.25","pip install toclo
          
            
            Copy PIP instructions","Released: 
  Jun 5, 2018","A todo list command line program in Python.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/e54865359574d36d6258165d488f335addb1a50d/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f65393332326239626330663032336562333961353366326531353866393064393f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for verssae from gravatar.com"" title=""Avatar for verssae from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            verssae
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/e54865359574d36d6258165d488f335addb1a50d/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f65393332326239626330663032336562333961353366326531353866393064393f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for verssae from gravatar.com"" title=""Avatar for verssae from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            verssae
          </span>
        "
"t-ocr 1.4.21","pip install t-ocr
          
            
            Copy PIP instructions","Released: 
  Aug 27, 2024","Thoughtful OCR Package",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/024c5eb497b7783c1705aecb2418e70aba59a2e2/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f33643130333530653433633063383333656461376535623838393966653939393f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for thoughtful from gravatar.com"" title=""Avatar for thoughtful from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            thoughtful
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/024c5eb497b7783c1705aecb2418e70aba59a2e2/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f33643130333530653433633063383333656461376535623838393966653939393f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for thoughtful from gravatar.com"" title=""Avatar for thoughtful from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            thoughtful
          </span>
        "
"todd 0.0.7","pip install todd
          
            
            Copy PIP instructions","Released: 
  Jan 7, 2019","An interactive terminal based todo.txt file editor",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/6e58102d4d677262807de34f7ec60e406abf13ea/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f64363231346131623561306331353238623537326365396462393137663437653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for laktak from gravatar.com"" title=""Avatar for laktak from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            laktak
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/6e58102d4d677262807de34f7ec60e406abf13ea/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f64363231346131623561306331353238623537326365396462393137663437653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for laktak from gravatar.com"" title=""Avatar for laktak from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            laktak
          </span>
        "
"todo-by 1.2.0","pip install todo-by
          
            
            Copy PIP instructions","Released: 
  Jun 27, 2023","Runtime lifetimes for comments.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/ba7767b830655f15f35af2203f055ae6812fd4a9/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f61643639366334363532656561663939633732376465396164613638313864363f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for barnumbirr from gravatar.com"" title=""Avatar for barnumbirr from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            barnumbirr
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/ba7767b830655f15f35af2203f055ae6812fd4a9/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f61643639366334363532656561663939633732376465396164613638313864363f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for barnumbirr from gravatar.com"" title=""Avatar for barnumbirr from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            barnumbirr
          </span>
        "
"todoclist 0.5.0","pip install todoclist
          
            
            Copy PIP instructions","Released: 
  May 15, 2024","No project description provided",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/41510ea310b8992e9f7825d8bf8248323864bd6b/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f39643933356432356538323233343962333833333763363930613730316536363f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for rasalini from gravatar.com"" title=""Avatar for rasalini from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            rasalini
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/41510ea310b8992e9f7825d8bf8248323864bd6b/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f39643933356432356538323233343962333833333763363930613730316536363f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for rasalini from gravatar.com"" title=""Avatar for rasalini from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            rasalini
          </span>
        "
"todo-cli-tddschn 2.0.7","pip install todo-cli-tddschn
          
            
            Copy PIP instructions","Released: 
  Jun 6, 2022","CLI Todo app made with typer, sqlite and a REST API",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/3a8cdcfb11012e8265374b66aab0562adfe98703/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38626563643566386535323735626566653231303438366362393761666137643f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for teddysc from gravatar.com"" title=""Avatar for teddysc from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            teddysc
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/3a8cdcfb11012e8265374b66aab0562adfe98703/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38626563643566386535323735626566653231303438366362393761666137643f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for teddysc from gravatar.com"" title=""Avatar for teddysc from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            teddysc
          </span>
        "
"todofinder 1.2.0","pip install todofinder
          
            
            Copy PIP instructions","Released: 
  Jan 26, 2020","Scan for TODO&#39;s",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/8f6f8f1778dd0864d0c36da4881668e9c4f928da/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f63646232373931646435383734326661616131376333356562353664613133303f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for jonathrg from gravatar.com"" title=""Avatar for jonathrg from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            jonathrg
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/8f6f8f1778dd0864d0c36da4881668e9c4f928da/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f63646232373931646435383734326661616131376333356562353664613133303f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for jonathrg from gravatar.com"" title=""Avatar for jonathrg from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            jonathrg
          </span>
        "
"todoist-cli 0.0.1","pip install todoist-cli
          
            
            Copy PIP instructions","Released: 
  Jan 6, 2016","A CLI for batch creating Todoist tasks.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/7b46817a065c522841f16fa72168a7eb70bc4623/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66346237613765346237386232376238636533386133643665313135333835343f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for ChristopherSu from gravatar.com"" title=""Avatar for ChristopherSu from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            ChristopherSu
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/7b46817a065c522841f16fa72168a7eb70bc4623/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66346237613765346237386232376238636533386133643665313135333835343f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for ChristopherSu from gravatar.com"" title=""Avatar for ChristopherSu from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            ChristopherSu
          </span>
        "
"todoist-digest 0.10.4","pip install todoist-digest
          
            
            Copy PIP instructions","Released: 
  Aug 14, 2024","Generate a digest of comments that occured since the last checked in date. Useful for including in an email.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/134028f49967f7b6af99e27b5c48aff88ec326b5/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66393664343666333931313335626330396634343464376164666231326664653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for iloveitaly from gravatar.com"" title=""Avatar for iloveitaly from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            iloveitaly
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/134028f49967f7b6af99e27b5c48aff88ec326b5/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66393664343666333931313335626330396634343464376164666231326664653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for iloveitaly from gravatar.com"" title=""Avatar for iloveitaly from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            iloveitaly
          </span>
        "
"todoist-scheduler 0.6.0","pip install todoist-scheduler
          
            
            Copy PIP instructions","Released: 
  Aug 17, 2024","Automatically reschedule tasks in Todoist to reduce the size of the todo lists you see each day.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/134028f49967f7b6af99e27b5c48aff88ec326b5/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66393664343666333931313335626330396634343464376164666231326664653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for iloveitaly from gravatar.com"" title=""Avatar for iloveitaly from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            iloveitaly
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/134028f49967f7b6af99e27b5c48aff88ec326b5/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66393664343666333931313335626330396634343464376164666231326664653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for iloveitaly from gravatar.com"" title=""Avatar for iloveitaly from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            iloveitaly
          </span>
        "
"todoist-to-todotxt 0.0.2","pip install todoist-to-todotxt
          
            
            Copy PIP instructions","Released: 
  Sep 11, 2023","Save tasks from Todoist to todo.txt format",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/8ec5bea6c5aadfd1ded20e8e44b363061e7522ce/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f30383364663733373132333665366365343534656137386462356635613635653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for anlar from gravatar.com"" title=""Avatar for anlar from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            anlar
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/8ec5bea6c5aadfd1ded20e8e44b363061e7522ce/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f30383364663733373132333665366365343534656137386462356635613635653f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for anlar from gravatar.com"" title=""Avatar for anlar from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            anlar
          </span>
        "
"todoman 4.4.0","pip install todoman
          
            
            Copy PIP instructions","Released: 
  Nov 6, 2023","A simple icalendar-based todo manager.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/319556d5d517a0eb6c38ae7458bb61ff03de6ad9/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f31616438376262303330333233386565383736613134376461636435353761313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for untitaker from gravatar.com"" title=""Avatar for untitaker from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            untitaker
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/5d7109a1de0f34b59cfdfa45e8bcf2afa8fe64d5/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f32363837323664613331366239663631323535313135363939653361383431343f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for WhyNotHugo from gravatar.com"" title=""Avatar for WhyNotHugo from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            WhyNotHugo
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/319556d5d517a0eb6c38ae7458bb61ff03de6ad9/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f31616438376262303330333233386565383736613134376461636435353761313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for untitaker from gravatar.com"" title=""Avatar for untitaker from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            untitaker
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/5d7109a1de0f34b59cfdfa45e8bcf2afa8fe64d5/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f32363837323664613331366239663631323535313135363939653361383431343f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for WhyNotHugo from gravatar.com"" title=""Avatar for WhyNotHugo from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            WhyNotHugo
          </span>
        "
"todonepy 4.0.9","pip install todonepy
          
            
            Copy PIP instructions","Released: 
  Sep 17, 2020","A developed command-line task manager",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/6fd2cf4572e82737922806a9fc191cecf0e25691/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38623935303939333733653431373533666436373232366136666238666131383f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for rbpatt2019 from gravatar.com"" title=""Avatar for rbpatt2019 from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            rbpatt2019
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/6fd2cf4572e82737922806a9fc191cecf0e25691/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38623935303939333733653431373533666436373232366136666238666131383f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for rbpatt2019 from gravatar.com"" title=""Avatar for rbpatt2019 from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            rbpatt2019
          </span>
        "
"todonotifier 1.3.2","pip install todonotifier
          
            
            Copy PIP instructions","Released: 
  Mar 17, 2024","Library to setup automatic TODO Notifications in code",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/b916bb4c8fd53136a22c354e80484c90d7a43803/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f33376666376665646137663662366465316163396430373231326134633733613f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for atk_python from gravatar.com"" title=""Avatar for atk_python from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            atk_python
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/b916bb4c8fd53136a22c354e80484c90d7a43803/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f33376666376665646137663662366465316163396430373231326134633733613f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for atk_python from gravatar.com"" title=""Avatar for atk_python from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            atk_python
          </span>
        "
"todo-or-die 0.1.1","pip install todo-or-die
          
            
            Copy PIP instructions","Released: 
  Sep 14, 2021","Never let your TODOs rot in your python code ever again",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/d71b8e98f5e6c71067aae9e8600ceb79a959e0fc/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38366233323733393937393335346561306561316130633137333461653438313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for achedeuzot from gravatar.com"" title=""Avatar for achedeuzot from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            achedeuzot
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/d71b8e98f5e6c71067aae9e8600ceb79a959e0fc/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f38366233323733393937393335346561306561316130633137333461653438313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for achedeuzot from gravatar.com"" title=""Avatar for achedeuzot from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            achedeuzot
          </span>
        "
"todo-or-die-python 0.1.1","pip install todo-or-die-python
          
            
            Copy PIP instructions","Released: 
  Sep 13, 2021","Halt code if your TODO is passed due",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/99b335eb5575d4499a4748d7bdd3095e6589d2ee/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f30376631633765303035356164623135366431653235623337613739346137623f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for walshyb from gravatar.com"" title=""Avatar for walshyb from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            walshyb
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/99b335eb5575d4499a4748d7bdd3095e6589d2ee/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f30376631633765303035356164623135366431653235623337613739346137623f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for walshyb from gravatar.com"" title=""Avatar for walshyb from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            walshyb
          </span>
        "
"todopkg 1.0.7","pip install todopkg
          
            
            Copy PIP instructions","Released: 
  Nov 8, 2023","A To-Do List manager package for managing your tasks efficiently.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/ca7e3a23e6ecf7fbed08d40748d2d8b7f4087fdb/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66313366623831393961363139613766666239366437353364343839326531313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for Isomorphism from gravatar.com"" title=""Avatar for Isomorphism from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            Isomorphism
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/a5d0e08026465a99e93dd51ee2edd310f0f14b27/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66383136306530386537316236613430646534626662366537346230353539313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for Isomorphism-_.2023 from gravatar.com"" title=""Avatar for Isomorphism-_.2023 from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            Isomorphism-_.2023
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/ca7e3a23e6ecf7fbed08d40748d2d8b7f4087fdb/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66313366623831393961363139613766666239366437353364343839326531313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for Isomorphism from gravatar.com"" title=""Avatar for Isomorphism from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            Isomorphism
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/a5d0e08026465a99e93dd51ee2edd310f0f14b27/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f66383136306530386537316236613430646534626662366537346230353539313f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for Isomorphism-_.2023 from gravatar.com"" title=""Avatar for Isomorphism-_.2023 from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            Isomorphism-_.2023
          </span>
        "
"todoster 1.0.0","pip install todoster
          
            
            Copy PIP instructions","Released: 
  Nov 5, 2018","A simple command line todo list.",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/7e5b2edaf88c64bb9f92ecff8f361ae1bfeee177/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f37333166363134646565333139303536313433303865653061313035363238633f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for solvi from gravatar.com"" title=""Avatar for solvi from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            solvi
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/7e5b2edaf88c64bb9f92ecff8f361ae1bfeee177/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f37333166363134646565333139303536313433303865653061313035363238633f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for solvi from gravatar.com"" title=""Avatar for solvi from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            solvi
          </span>
        "
"todo-today-cli 0.0.8","pip install todo-today-cli
          
            
            Copy PIP instructions","Released: 
  Mar 29, 2024","A file-centric task management app",,"
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/96b344747dd4077bdba8b76c81d70b47dd4f1805/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f37646431656365653366626634616438636537666564616231353236623731303f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for vighneshiyer from gravatar.com"" title=""Avatar for vighneshiyer from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            vighneshiyer
          </span>
         | 
          <span class=""sidebar-section__user-gravatar"">
            <img src=""https://pypi-camo.freetls.fastly.net/96b344747dd4077bdba8b76c81d70b47dd4f1805/68747470733a2f2f7365637572652e67726176617461722e636f6d2f6176617461722f37646431656365653366626634616438636537666564616231353236623731303f73697a653d3530"" height=""50"" width=""50"" alt=""Avatar for vighneshiyer from gravatar.com"" title=""Avatar for vighneshiyer from gravatar.com"">
          </span>
          <span class=""sidebar-section__user-gravatar-text"">
            vighneshiyer
          </span>
        "
